order_id,payment_sequential,payment_type,payment_installments,payment_value
42fdf880ba16b47b59251dd489d4441a,1,credit_card,2,128.45
616105c9352a9668c38303ad44e056cd,1,credit_card,1,75.78
79da3f5fe31ad1e454f06f95dc032ad5,1,credit_card,1,98.94
f75666bf6c9e09f6b3f4bcd797b57a3c,1,credit_card,4,97.28
b545ba7b0bd67a3128185c7214704319,1,credit_card,8,340.08
1e6d912e4c63965bb9eccf0cc765fc24,1,boleto,1,207.24
5262eaeb971616ffef822379ed91896f,1,credit_card,1,0.67
881206af1a6a9cd34119b99782759dd4,1,boleto,1,44.77
90eaac01afdf4e531a70ad869e092c75,1,credit_card,1,234.43
56ba89857b4e6eb192108f310a81163b,1,credit_card,13,197.23
0f67e615d797da223ac5601b9b08b180,1,credit_card,3,153.67
5b7c6dbea3e21dc6314451ed73907c0c,1,boleto,1,48.27
68051b9b65c4b30fc1252a2b69fe1d0b,1,credit_card,6,125.77
b616f638cd86d92c7cbd06cf7484ee34,1,credit_card,1,20.75
415c8cb8b60f8371900c2abb3ce6a0c3,1,credit_card,3,171.32
20aa4f85b1ed8d98e5c742c1a003db9c,2,voucher,1,50.0
e11fec6c25945565c1ef4f14fc3c03b7,1,credit_card,10,1995.69
ebee038c5993647eb1defc78207cd187,1,credit_card,1,114.25
96068d351a84dcea0b929884876e4fae,1,credit_card,2,128.73
14d113827939e9deace0b2afb528f1bb,1,credit_card,1,154.87
e4e0b1913652739070617b6a336a6ca5,1,boleto,1,44.72
64e64a4dd77d71d6bc307f24af1e55ac,1,credit_card,1,22.29
7c95572fd6e7e0ab8b88b00fd8c70716,1,boleto,1,53.39
906f47e5cb0a80530bf2e789e6e6a0cd,1,credit_card,10,179.92
c627fe35fce1a754bc5b812d0b8ff379,1,credit_card,3,206.2
6d60fdb8565707824a98431255d3183a,1,credit_card,1,26.45
d1ea13fc1406243e6f6134582bf1bbc5,1,credit_card,10,1432.92
6902f0d9d7309f56f50b8713c3b6a4de,1,boleto,1,66.69
701784c754c8ac2e2a73dbbe7dc3a363,1,boleto,1,52.75
cf4eff954b06c19d96be7d6792a1da3c,1,credit_card,4,48.13
e41e5861711a10524b80a63d022ae776,1,credit_card,10,1180.51
cc69435b3a477ca3247cc9811da7f589,1,credit_card,1,40.96
0ad81eec70d65880c30299b73ac7945d,1,boleto,1,160.74
750ed62dff96bf5713b8c6a6bbfdc948,1,boleto,1,189.96
2dd8a69d1eb8ea62bdddc073c4e80ab1,1,boleto,1,72.83
5008e6358df7e92655ca078e3f41b8a6,1,credit_card,3,184.08
8533051a3ddfba857f39aa28d5b7a8f1,1,boleto,1,67.93
7ef259be178f9f06c72a57add85b71cd,1,credit_card,3,372.67
dcb0beba69129b3cb15757a33bc9dce9,1,debit_card,1,77.42
5308fdab519f7478ef64894128fbbee4,1,credit_card,1,36.07
f62c176f45acd8992e70d81c62d08971,1,debit_card,1,23.88
906f4bc65b707953aee3d6462aa07e8d,1,credit_card,2,129.79
a56e517e3e85ada615daf2270c2a9c48,1,credit_card,6,166.41
93d16f5ff7e2ae4320139a6faf1a2716,1,credit_card,1,35.77
bb54e9bf4bdb6c6391a7c6b517748b9f,1,credit_card,2,124.92
80d49171762a51f500bf6b774aa24617,1,credit_card,1,2787.87
ea2c93fbb3cf79edecd5f993fe362464,1,credit_card,3,457.64
a33539f882610ee1dc18289cc3087217,1,credit_card,3,32.96
229e63c6692ae32cdc9c4ba2851efba6,1,credit_card,4,47.23
741ec8db84b412611b43fbe607c884c0,1,credit_card,4,109.5
aa99487411b30032936831e56c42da2f,1,credit_card,10,991.09
fffe41c64501cc87c801fd61db3f6244,1,credit_card,1,55.79
5daa05e23e3d4dc6b95c1fa49dbfab7f,1,debit_card,1,22.38
3ec09614b4f70768683f64a1aea0a3a8,1,credit_card,2,21.84
fefc60b6174117cb96cd5eeaec4188b5,1,credit_card,1,202.15
d00e79f339bb76a1b6dbcc8cb41934e7,1,credit_card,10,113.44
877e88c213b1ca25f07ece4878bb8acc,1,credit_card,7,97.03
b4059555399120834bc8cf54a84bc6c8,1,credit_card,1,26.77
72b02234375680d174bc9fecfb0fd9fe,2,voucher,1,29.87
92af9bafd80bcd2636471ac01bc77f60,1,credit_card,8,204.11
821a1e7c9755a640a28554e2d777df92,1,credit_card,4,151.96
1422a4b4a2aa8b66fd49ff5557200b42,1,credit_card,10,924.12
324f3c3352916cbfee179bcbae1e8ce5,1,credit_card,10,107.1
961a93eba7486b47946616baaf442372,1,credit_card,5,263.02
ce79ae0eb1e344fbf19835147efc64e4,1,credit_card,6,120.0
5f332fa4ad3167e08253c656a2fae4cc,1,credit_card,3,75.99
9de73f3e6157169ad6c32b9f313c7dcb,2,credit_card,1,135.44
e3c57d0ebff7edcd11f4f15e59ccc852,1,credit_card,1,25.31
59ee573107dc652d64099e2e834aa730,1,credit_card,2,124.02
b09b18fbceead5d238576060df8d45cc,1,credit_card,2,90.45
1bc50e93f3ab76ab6677faad4dd5216b,1,boleto,1,47.84
eb752d7dd31fae34db80457d17e72ad0,1,credit_card,1,50.26
9b336781d5b596503cb852a8e043496b,1,boleto,1,44.49
7b4da8a23b304605ffac1da44f1e7017,1,boleto,1,110.26
4294d6c2b09c5f2438c01b11c91ff7a8,1,debit_card,1,184.77
8b5be28b78c96b28adca40358eed3d7b,1,boleto,1,69.9
43070b94b6d741a764e8e1ba4a2ea91d,1,credit_card,10,1310.95
