order_id,payment_sequential,payment_type,payment_installments,payment_value
afef48d3c8a0b1b7c9b7f8f922fb5674,1,credit_card,5,153.41
e8977f709bbb0367f51b589e6325f991,1,credit_card,1,132.51
4cb51127f19f7254b320efe1718477dd,1,boleto,1,77.1
9bdcb4559b75d21a22fcd868d9e5dfec,1,credit_card,8,348.02
9c96fac210f67f329b80d898001fee09,1,boleto,1,65.0
7c3e71109e904d8e0c8d034456f87eca,1,boleto,1,404.88
97e8d3eb8f48e3610beed991e5f32296,1,credit_card,4,205.44
009ac365164f8e06f59d18a08045f6c4,5,voucher,1,8.75
3ba1ccc3882bd7df61ee5030f44ec1d2,1,credit_card,5,194.0
e199c3b74cd391568e7c99aa28b0f274,1,boleto,1,168.51
75450feecb51c39e54f4bd4c74b867e5,1,boleto,1,46.78
838411338443a817cfb4c26f0f7a9c9a,1,boleto,1,63.7
0cd19e832fefb17664d1a294b90ad192,1,credit_card,10,110.2
f6e638ae1f17003aac1cb6dc6a93ba73,1,credit_card,1,79.88
30f54cfb85a2cf596ee5b7a589d3ffa0,1,credit_card,3,130.14
ac0da888b1077d0f40b33eea6de6297e,1,credit_card,1,52.34
3d7fb1dd6ff6f0eedb9976eda81e4a95,2,voucher,1,20.0
952241c48f34d58c23ca57964d413834,1,credit_card,2,88.2
4f22cd3d78d124f7ac060a3171493ef4,1,debit_card,1,36.35
2299befc86b7b31fc23dcba911582355,1,credit_card,1,25.5
1857ec1a182661136fe7584592437d51,1,boleto,1,566.63
6ad6a8701a498c74450b0876eda2ecb9,1,credit_card,4,87.36
8616397296bf3ac1cc07c21a5c457894,1,credit_card,3,39.78
493c6b85f2b1911ffe31be7e8c2839c3,1,voucher,1,148.06
1634d04100d187e0f985f2eb2909cba1,1,credit_card,5,105.38
de43e0e00259ee7b44c7a11e9b5d114f,1,credit_card,8,124.21
186c43c492d0813457a0da8ee78ef748,1,credit_card,5,222.15
811acfa349a56222b8ca357b548123bb,1,credit_card,3,84.52
60b0fba7a3132de4c33d2a0a2f204b15,1,boleto,1,149.73
98e5161ba292a2032d586ecc01ac0c87,1,credit_card,3,171.79
417b5687161450887ef2e6b283c15c32,1,credit_card,1,93.66
b817f6c3399d06c7629a445527b463dd,1,credit_card,3,36.1
9459fe4630e1165c113f9fdb4ad5b261,1,credit_card,3,44.66
6ed3f553337457d7804e8c39b580ce89,1,credit_card,10,113.62
f1c5e5967b0cd0144bd3b56958f7da43,1,boleto,1,90.76
aef85868b291058edac07999dfc93307,1,credit_card,1,99.2
33053ee45764f34778295ba8a0a4131d,1,credit_card,3,195.0
6e9e60623cf73b485aee48dc4b45c98d,1,credit_card,3,137.02
0ad82b0c5d9f039a29814e465165a0da,1,credit_card,6,318.4
2d06d0f685d85988dd10f283e5da1270,1,credit_card,1,342.38
